
;────────────
;도구소지플래그
;────────────

;<※>       현재 정의(대입)를 하지 않은플래그
;! 말소 예정! 말소 예정플래그(주로 후방 호환이기 때문에 존재)

;ITEM:  0～49 도구일반
0,로터,200,
1,바이브,500,
2,항문비즈,300,
3,페니스밴드,500,

9,커스텀도구,2000,

11,항문바이브,1000,
12,클리캡,600,
13,유두캡,600,
14,오나홀,600,
20,눈가리개,300,
21,채찍,500,
22,밧줄,300,
30,볼개그,300,
31,바늘,500,
32,관장세트,1000,
33,삼각목마,2000,
40,거울,1000,
42,개목걸이,1500,

;약계, 히트와 쿨 다운의 계산용
50,로션,4,
51,미약,4,
52,이뇨제,4,

;구입 제한 관련
60,촉수사역술,5,
61,노예목걸이,-1

;복장 관련
;봉인중
;70, 코스프레세트
;71, 노예복, 5000
;72, 기모노, 5000
;73, 메이드복, 5000
;74, 중국의류, 5000
;75, 세라복, 5000
;76, 스쿠미즈, 5000
;77, 바니걸복, 5000
;78, 체육복, 5000
